cluster,minLat,maxLat,minLng,maxLng
1145,-1.31485,-1.31485,122.413,122.413
1146,16.378,16.378,44.0332,44.0332
1147,43.6492,43.6492,133.797,133.797
1148,33.9512,35.2106,68.8594,69.2724
1149,18.3607,18.3607,105.953,105.953
1150,9.32666,9.32666,16.2605,16.2605
1151,30.0167,30.0691,70.7261,71.2064
1152,23.6726,23.6726,106.122,106.122
1153,-31.1727,-31.1727,-53.9487,-53.9487
1154,26.5321,26.9506,84.87,84.9232
1155,10.5493,10.5493,-9.22709,-9.22709
1156,40.776,40.8829,14.2544,14.6179
1157,15.2301,15.2301,-92.607,-92.607
1158,37.2799,37.6813,54.98,55.8167
1159,18.0925,18.0925,-102.052,-102.052
1160,-26.202,-26.202,-51.1099,-51.1099
1161,26.6674,26.6674,87.1208,87.1208
1162,6.96054,7.15665,122.076,122.12
1163,39.7238,39.7238,127.109,127.109
1164,-32.8972,-32.7122,-61.686,-61.2148
1165,38.9667,38.9667,-87.3397,-87.3397
1166,44.8217,45.038,4.81011,4.94085
1167,14.4472,14.4472,108.217,108.217
1168,22.3394,22.3394,-80.2017,-80.2017
1169,-2.08125,-1.40095,29.3596,30.2562
1170,29.8942,29.8942,-99.8764,-99.8764
1171,-0.272389,-0.145811,31.6943,31.7964
1172,-19.5935,-19.5935,-40.7419,-40.7419
1173,37.7262,37.7262,26.8198,26.8198
1174,36.7277,36.7277,35.3204,35.3204
1175,5.42363,5.42363,115.875,115.875
1176,-26.2199,-26.2199,30.242,30.242
1177,-23.963,-23.963,35.4403,35.4403
1178,-21.5196,-21.2908,31.3479,31.3674
1179,34.9309,34.9309,-91.7958,-91.7958
1180,0.089204,0.089204,18.3372,18.3372
1181,32.9774,33.1091,-7.25938,-7.0988
1182,-3.16741,-3.16741,-73.8067,-73.8067
1183,41.1084,41.4579,27.3388,27.7106
1184,35.5887,35.6527,36.0191,36.33
1185,48.0799,48.1985,8.43803,8.91392
1186,40.7369,40.7369,108.573,108.573
1187,-5.23305,-5.23305,119.618,119.618
1188,-15.8146,-15.8146,-50.2531,-50.2531
1189,3.55746,3.6716,125.462,125.54
1190,-3.9968,-3.9968,103.346,103.346
1191,45.5001,45.5001,37.8507,37.8507
1192,29.6686,29.6686,53.018,53.018
1193,15.5553,15.5553,-14.6405,-14.6405
1194,35.6744,35.6744,-85.6892,-85.6892
1195,55.4566,55.4566,21.5702,21.5702
1196,-17.771,-17.771,-41.6614,-41.6614
1197,-43.8051,-43.8051,171.889,171.889
1198,42.1729,42.3494,42.2864,42.8313
1199,40.8259,40.8259,71.4084,71.4084
1200,-16.5008,-16.4938,-68.1304,-68.1292
1201,-11.8781,-11.8781,-50.4819,-50.4819
1202,-18.0598,-18.0598,126.014,126.014
1203,50.8573,50.8573,47.8434,47.8434
1204,36.0858,36.0858,67.8694,67.8694
1205,23.1932,23.1932,35.4677,35.4677
1206,39.6906,39.6906,77.3556,77.3556
1207,-15.132,-15.132,39.3032,39.3032
1208,48.2703,48.3716,14.4178,14.7394
1209,-15.77,-15.77,-70.1647,-70.1647
1210,28.2782,28.4785,-16.5329,-16.2539
1211,35.8345,35.8345,64.8164,64.8164
1212,32.2875,32.2875,53.3797,53.3797
1213,46.4874,46.6721,-89.5756,-88.9797
1214,-9.70422,-9.70422,120.032,120.032
1215,7.3106,7.3106,43.0631,43.0631
1216,34.6133,34.6133,62.9712,62.9712
1217,58.0454,58.0454,67.2446,67.2446
1218,32.7318,32.7318,-99.3162,-99.3162
1219,4.50308,4.67409,-75.6732,-75.2114
1220,53.5916,53.5916,156.653,156.653
1221,-0.075707,-0.075707,33.5441,33.5441
1222,59.4398,59.4398,-157.366,-157.366
1223,58.6923,58.6923,64.5783,64.5783
1224,-18.2729,-18.2729,49.1842,49.1842
1225,17.2473,17.2473,53.5803,53.5803
1226,-26.6767,-26.5435,-57.811,-57.5059
1227,34.2866,34.2866,67.0593,67.0593
1228,41.2484,41.2484,-75.8722,-75.8722
1229,62.8807,62.8807,131.95,131.95
1230,-30.1182,-30.1182,-70.1631,-70.1631
1231,64.8048,64.8048,94.2009,94.2009
1232,43.0853,43.1307,25.2691,25.6338
1233,42.8491,42.8491,-77.1518,-77.1518
1234,1.78641,1.78641,-74.0372,-74.0372
1235,42.2633,42.2633,-91.0233,-91.0233
1236,-33.1035,-32.4347,-56.1946,-55.6997
1237,14.1031,14.1031,-87.1782,-87.1782
1238,47.137,47.137,10.6119,10.6119
1239,47.3407,47.3407,-95.9064,-95.9064
1240,33.2088,33.2088,108.51,108.51
1241,22.5644,22.7803,104.679,105.326
1242,55.5516,55.5516,61.5509,61.5509
1243,43.5246,43.5246,47.0419,47.0419
1244,22.0018,22.0018,-79.4307,-79.4307
1245,26.5167,26.6914,117.773,118.078
1246,-29.9438,-29.9438,-51.5303,-51.5303
1247,25.2225,25.2225,90.9923,90.9923
1248,43.9929,43.9929,43.255,43.255
1249,48.8527,48.8527,-94.0435,-94.0435
1250,33.0246,33.0246,107.99,107.99
1251,54.5643,54.5643,-6.1593,-6.1593
